,BreweryName,BreweryType,Latitude,Longitude,County,State
295,Cathedral Square Brewery,contract,38.6394897,-90.2439837,St. Louis,MO
296,Cinder Block Brewery,brewpub,39.1403371573456,-94.5794652075528,Clay,MO
297,Griesedieck Brothers Brewery,contract,38.7090351126761,-90.2349872112676,St. Louis,MO
298,McCoy's Public House,brewpub,39.1002989,-94.5911729,Jackson,MO
299,Morgan Street Brewery,proprietor,38.6303271900035,-90.1846587143656,St. Louis,MO
300,Strange Days Brewing Co,micro,39.1100614,-94.5799451187632,Jackson,MO
301,Weston Brewing Co / O'Malley's Pub,micro,39.411378,-94.899934,Platte,MO
302,2 Basset Brewery,micro,46.5480760866913,-110.900486489644,Meagher,MT
303,Cabinet Mountain Brewing Co,brewpub,48.3936508,-115.5506412,Lincoln,MT
304,Harvest Moon Brewing,micro,47.3822191883646,-110.92985271363,Cascade,MT
305,Meadowlark Brewing,brewpub,47.7105211,-104.1602945,Richland,MT
306,Red Lodge Ales Brewing Co,micro,45.1972705301205,-109.24653926506,Carbon,MT
307,Benson Brewery,brewpub,41.2848975555556,-96.0063451111111,Douglas,NE
308,Brickway Brewery and Distillery,micro,41.2544908163265,-95.930905244898,Douglas,NE
309,Farnam House Brewing Company,brewpub,41.2578153029739,-95.9658017764832,Douglas,NE
310,Pals Brewing Company,brewpub,41.12294,-100.7916041,Lincoln,NE
311,Thunderhead Brewing Co,brewpub,40.6966518333333,-99.080732,Buffalo,NE
312,White Elm Brewing Co,micro,40.7856925,-96.7167126,Lancaster,NE
313,Alibi Ale Works,micro,39.2481932808664,-119.953711697581,Washoe,NV
314,Pigeon Head Brewery,micro,39.5333757755102,-119.802684979592,Washoe,NV
315,The Fox Brewpub,brewpub,39.1269616,-119.7708155,Carson City,NV
316,Tonopah Brewing Co,brewpub,38.070350236911,-117.231982349599,Nye,NV
317,Big Water Brewery,micro,43.409129,-71.717004,Merrimack,NH
318,Martha's Exchange Restaurant and Brewery,brewpub,42.7604446,-71.4654818146987,Hillsborough,NH
319,Millyard Brewing,micro,42.7544214,-71.4598818883104,Hillsborough,NH
320,Stark Brewing Company,brewpub,42.9945554,-71.4676557,Hillsborough,NH
321,Birravino,brewpub,40.3535256530315,-74.0753623780113,Monmouth,NJ
322,Bucket Brigade Brewery,micro,39.086856,-74.8194635306123,Cape May,NJ
323,Eight & Sand Beer Co,micro,39.8493472478197,-75.1422203358405,Gloucester,NJ
324,Harvest Moon Brewery/Cafe,brewpub,40.4962516,-74.4442058,Middlesex,NJ
325,Lower Forge Brewery,micro,39.8990962932246,-74.8236255591221,Burlington,NJ
326,Third State Brewing,micro,40.0780314070468,-74.8584192483396,Burlington,NJ
