,BreweryName,BreweryType,Latitude,Longitude,County,State
3889,The Knuckle Brewing Company,brewpub,44.4147739591837,-103.512573346939,Meade,SD
3890,Elderbrew,micro,36.594077,-82.18356135,,
3891,Holston River Brewing Company,micro,36.574583,-82.1910353,,
3892,Big River Grille & Brewing Works - Chattanooga,brewpub,35.0538755447393,-85.310708746297,,
3893,Heaven & Ale Brewing Co,brewpub,35.064349,-85.311847,,
3894,McHale's Brewhouse,brewpub,35.1164058264354,-85.2757397642444,Hamilton,TN
3895,Chattanooga Brewing Co,micro,35.0363334908815,-85.314430246936,Hamilton,TN
3896,Mad Knight Brewing Company,micro,35.008643261185,-85.3278569212857,Hamilton,TN
3897,"Terminal Brewhouse, The",brewpub,35.0364449333333,-85.3072307666667,,
3898,Blackhorse Pub and Brewery,brewpub,36.52735085,-87.3588994,Montgomery,TN
3899,Strawberry Alley Ale Works,brewpub,36.5280248,-87.3602663528486,Montgomery,TN
3900,Asgard Brewing Company,micro,35.6174542028515,-87.0332968790231,Maury,TN
3901,Red Silo Brewing Co,micro,36.1653550099297,-85.5086010623437,Putnam,TN
3902,Hix Farm Brewery,micro,36.161868,-85.507921,Putnam,TN
3903,Jig Head Brewing Company,micro,36.1455617853516,-85.5237389037356,Putnam,TN
3904,Meddlesome Brewing Company,micro,35.14057,-89.802564,Shelby,TN
3905,BriarScratch Brewing,micro,36.4514343,-86.53805,Sumner,TN
3906,Monkey Town Brewing Company,brewpub,35.4931380380085,-85.0127523750029,Rhea,TN
3907,Cool Springs Brewery,brewpub,35.944623,-86.820912,,
3908,Granite City Food & Brewery,brewpub,35.9361408,-86.8271308,Williamson,TN
3909,Mantra Artisan Ales,micro,35.893554,-86.866949,Williamson,TN
3910,Smoky Mountain Brewery (#2) - Gatlinburg,brewpub,35.7090180126524,-83.5205350353755,,
3911,Johnson City Brewing Co,micro,36.3171595095503,-82.3463696243846,,
3912,JRH Brewing,micro,36.3116959532105,-82.3548364803802,Washington,TN
3913,Depot Street Brewing Co,micro,36.2876539466407,-82.4805452434381,Washington,TN
3914,Schulz Brau Brewing Company,micro,35.9767572564103,-83.9273236025641,,
3915,Abridged Beer Company,brewpub,35.932287,-84.016459,,
3916,Alliance Brewing Company,micro,35.9593516,-83.9035469,Knox,TN
3917,Balter Beerworks,brewpub,35.96654,-83.92432,Knox,TN
3918,Blackhorse Pub and Brewery -  Knoxville,brewpub,35.9259722,-84.0443634,,
3919,Downtown Grill & Brewery / Woodruff Brewing,brewpub,35.9660630063957,-83.9186686014889,,
3920,Fanatic Brewing Company,micro,35.9917510649748,-83.9422445237608,Knox,TN
3921,Hexagon Brewing Co,micro,36.0086051235487,-83.9471706482184,Knox,TN
3922,Last Days of Autumn Brewing,brewpub,35.97603,-83.914805,,
3923,Pretentious Beer Co,micro,35.9693984377798,-83.9181404359167,,
3924,Printshop Beer Co,micro,35.9607605,-83.8972435,Knox,TN
3925,Smoky Mountain Brewery (#1),brewpub,35.9318903307208,-84.0096631185854,Knox,TN
3926,Smoky Mountain Brewery (#4) - Turkey Creek,brewpub,35.9000638184674,-84.1584642365995,Knox,TN
3927,Lilly Pad Hopyard Brewery,brewpub,36.129889,-84.690323,Morgan,TN
3928,Blackberry Farm Brewery,micro,35.762562,-83.965755,,
3929,High Cotton Brewing,micro,35.1408806482536,-90.0404790748779,,
3930,Blues City Brewing Co,regional,35.0350188,-89.8874019,,
3931,Boscos Squared,brewpub,35.1417658,-90.0401714,,
3932,Memphis Made Brewing Company,micro,35.124723,-89.990701,Shelby,TN
3933,Wiseacre Brewing Co,regional,35.1475572534875,-89.9684970115659,Shelby,TN
3934,Crosstown Brewing Company,micro,35.1515547,-90.0129924,Shelby,TN
3935,Ghost River Brewing,micro,35.125851,-90.059285,Shelby,TN
3936,The Black Abbey Brewing Company,micro,36.1048168612864,-86.7559029967888,,
3937,Southern Grist Brewing Company,micro,36.188838,-86.729011,Davidson,TN
3938,Bearded Iris Brewing,micro,36.181424,-86.786174,Davidson,TN
3939,Blackstone Brewing Co,micro,36.1579678295884,-86.8097436319194,,
3940,Corsair Artisan LLC,micro,36.165123,-86.794546,Davidson,TN
3941,Czann's Brewing,micro,36.1533486,-86.7742274305325,,
3942,East Nashville Beer Works,brewpub,36.20526205,-86.7632038301232,Davidson,TN
